event_name,radius_name,radius_km,f_klein_hz,f_gw_hz,snr_original,snr_klein,resonance_factor,improvement_ratio,ligo_optimal_range,ligo_marginal_range,mass_1,mass_2,distance_mpc,gps_time
GW230920_071124,Klein_Empirical_8400km,8400.0,5.680172808615407,77.52857379816997,11.1,13.321248697445819,1.2001124952653892,1.2001124952653892,False,False,32.5,24.2,2800.0,1379229102.7
GW230920_064709,Klein_Empirical_8400km,8400.0,5.680172808615407,,9.5,9.5,1.0,1.0,False,False,,,,1379227647.3
GW230919_215712,Klein_Empirical_8400km,8400.0,5.680172808615407,89.34695395033005,16.8,20.161393730311072,1.2000829601375638,1.2000829601375638,False,False,27.5,21.7,1280.0,1379195850.0
GW230914_111401,Klein_Empirical_8400km,8400.0,5.680172808615407,45.790313899544145,17.2,20.646207669435935,1.2003609110137172,1.2003609110137172,False,False,60.0,36.0,2600.0,1378725259.7
GW230911_195324,Klein_Empirical_8400km,8400.0,5.680172808615407,77.80301122754405,11.1,13.321239213179247,1.2001116408269592,1.2001116408269592,False,False,36.2,20.3,1080.0,1378497222.2
GW230904_152545,Klein_Empirical_8400km,8400.0,5.680172808615407,,9.2,9.2,1.0,1.0,False,False,,,,1377876363.2
GW230904_051013,Klein_Empirical_8400km,8400.0,5.680172808615407,248.35424487888352,10.5,12.600103546581716,1.200009861579211,1.200009861579211,False,False,10.6,7.1,1000.0,1377839431.1
GW230902_224555,Klein_Empirical_8400km,8400.0,5.680172808615407,,7.5,7.5,1.0,1.0,False,False,,,,1377729973.7
GW230902_172430,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.5,8.5,1.0,1.0,False,False,,,,1377710688.8
GW230902_122814,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.1,8.1,1.0,1.0,False,False,,,,1377692912.9
GW230831_134621,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.8,8.8,1.0,1.0,False,False,,,,1377524799.7
GW230831_015414,Klein_Empirical_8400km,8400.0,5.680172808615407,59.40365046427349,8.6,10.321730283520226,1.200201195758166,1.200201195758166,False,False,43.0,31.0,4700.0,1377482072.1
GW230830_064744,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.5,8.5,1.0,1.0,False,False,,,,1377413282.2
