event_name,catalog,observing_run,m1_solar,m2_solar,M_total_solar,energy_radiated,luminosity_distance_Mpc,snr,epsilon_max,final_state,mode_parity
GW230928_215827,GWTC-4.0,O4a,54.0,29.0,83.0,4.0,5000.0,10.5,0.3531287701087048,Klein_extrema,1
GW230930_110730,GWTC-4.0,O4a,34.4,24.4,59.0,2.700000000000003,4900.0,9.0,0.29087432607114705,Klein_deformada,0
GW231001_140220,GWTC-4.0,O4a,75.0,40.0,115.0,4.0,4400.0,11.5,0.3531287701087048,Klein_extrema,1
GW231004_232346,GWTC-4.0,O4a,65.0,35.0,100.0,4.0,4300.0,8.9,0.3531287701087048,Klein_extrema,1
GW231005_021030,GWTC-4.0,O4a,83.0,49.0,132.0,6.0,6400.0,10.4,0.416544139920784,Klein_extrema,1
GW231005_091549,GWTC-4.0,O4a,28.8,21.2,50.2,2.200000000000003,3800.0,11.0,0.2584243850439036,Klein_deformada,0
GW231008_142521,GWTC-4.0,O4a,45.0,25.5,71.0,2.0,3000.0,9.3,0.24374085067498738,Klein_deformada,0
GW231014_040532,GWTC-4.0,O4a,20.6,14.7,35.5,1.7000000000000028,2300.0,9.0,0.2195276922781055,Klein_deformada,0
GW231018_233037,GWTC-4.0,O4a,11.6,7.2,19.1,0.9000000000000021,1530.0,9.1,0.13533876787793003,Klein_relajada,-1
GW230919_215712,GWTC-4.0,O4a,27.3,21.4,49.0,2.5,1330.0,16.8,0.2785618683954423,Klein_deformada,0
GW231020_142947,GWTC-4.0,O4a,12.1,7.3,19.8,0.9000000000000021,1230.0,12.0,0.13533876787793003,Klein_relajada,-1
GW231028_153006,GWTC-4.0,O4a,95.0,58.0,152.0,8.0,4100.0,22.4,0.45763556863380783,Klein_extrema,1
GW231102_071736,GWTC-4.0,O4a,61.0,43.0,102.0,4.0,3800.0,15.6,0.3531287701087048,Klein_extrema,1
GW231029_111508,GWTC-4.0,O4a,65.0,42.0,106.0,5.0,3100.0,10.8,0.38862799783970886,Klein_extrema,1
GW231108_125142,GWTC-4.0,O4a,23.2,17.4,40.6,1.8000000000000045,2060.0,12.6,0.22791318941673067,Klein_deformada,0
GW231110_040320,GWTC-4.0,O4a,19.5,12.5,32.2,1.6000000000000014,1890.0,11.5,0.21080225634730967,Klein_deformada,0
GW231113_122623,GWTC-4.0,O4a,39.7,26.4,67.0,4.0,3400.0,8.6,0.3531287701087048,Klein_extrema,1
GW231104_133418,GWTC-4.0,O4a,12.3,8.6,21.0,1.0,1470.0,11.8,0.14697613460546777,Klein_relajada,-1
GW231113_200417,GWTC-4.0,O4a,11.5,7.4,19.2,0.8999999999999986,1160.0,10.5,0.13533876473784778,Klein_relajada,-1
GW231114_043211,GWTC-4.0,O4a,22.7,8.2,31.0,1.0,1380.0,10.0,0.14697613460546777,Klein_relajada,-1
GW231118_071402,GWTC-4.0,O4a,43.0,29.0,72.0,3.0,4300.0,9.2,0.30788013813439297,Klein_extrema,0
GW231118_005626,GWTC-4.0,O4a,19.8,10.9,30.9,1.599999999999998,2190.0,10.7,0.2108022563473094,Klein_deformada,0
GW231118_090602,GWTC-4.0,O4a,13.1,7.3,20.7,1.0,1350.0,11.0,0.14697613460546777,Klein_relajada,-1
GW231119_075248,GWTC-4.0,O4a,49.0,33.0,82.0,3.0,6700.0,8.3,0.30788013813439297,Klein_extrema,0
GW231127_165300,GWTC-4.0,O4a,45.0,29.0,74.0,3.0,4500.0,9.9,0.30788013813439297,Klein_extrema,0
