event_id,detection_category,system_type,total_mass,distance_mpc,snr_network,epsilon_max,klein_activated,snr_enhanced,klein_enhancement
SIM_004363,non_detection,BBH,11.568206582358036,2421.170584444497,0.15767326833610923,0.025364998536638834,False,0.15767326833610923,1.0
SIM_004364,non_detection,BBH,12.795322509541037,2459.6193210484194,0.21109980849400564,0.029441657132820598,False,0.21109980849400564,1.0
SIM_004365,non_detection,BBH,81.85685174744978,2405.390137340808,1.1725357905320017,0.17690734556514442,False,1.1725357905320017,1.0
SIM_004366,non_detection,BBH,82.71939660765787,2218.515437002291,1.1177662022461752,0.17192402936848736,False,1.1177662022461752,1.0
SIM_004367,non_detection,BBH,135.31461416049063,2775.443623751331,1.245500642746931,0.266231625917692,False,1.245500642746931,1.0
SIM_004368,non_detection,BNS,2.9539874132064368,1654.5424401152795,0.0667914079655676,0.0065270677776487086,False,0.0667914079655676,1.0
SIM_004369,non_detection,BNS,3.3554809480692143,2479.488228545106,0.04072927006386076,0.007525108295751273,False,0.04072927006386076,1.0
SIM_004370,non_detection,BBH,58.688207396206025,2572.5855732758087,0.6324973252239469,0.12148556601947158,False,0.6324973252239469,1.0
SIM_004371,non_detection,BBH,48.41779471238838,2145.8798412339447,0.44759335019081553,0.09187835350222551,False,0.44759335019081553,1.0
SIM_004372,non_detection,BBH,66.29956700214093,2344.1680577894363,0.5599843873708308,0.14677051696282034,False,0.5599843873708308,1.0
SIM_004373,non_detection,BBH,28.593650715196226,2084.2479292192916,0.38676405324600693,0.06657219363308241,False,0.38676405324600693,1.0
SIM_004374,non_detection,BBH,41.850172615665635,2802.1811324811365,0.29043038474156657,0.08708008960616904,False,0.29043038474156657,1.0
SIM_004375,non_detection,BBH,13.263752293302158,2752.971579093741,0.06743945690079721,0.02914592615249563,False,0.06743945690079721,1.0
SIM_004376,non_detection,BBH,15.653308850961636,2990.8370464659924,0.09663091231400497,0.03404986513868375,False,0.09663091231400497,1.0
SIM_004377,non_detection,BBH,48.69318944608141,2737.1616154278304,0.5069014922309915,0.0922508165539202,False,0.5069014922309915,1.0
SIM_004378,non_detection,BBH,61.80735947899686,2032.331796731427,0.5081958525831056,0.12316175966854946,False,0.5081958525831056,1.0
SIM_004379,non_detection,BBH,77.4369933029113,2014.1609202079035,0.9711539487414115,0.16689092915219356,False,0.9711539487414115,1.0
SIM_004380,non_detection,BBH,37.32383387427382,1910.3511821309755,0.4041507858933674,0.06375197012505603,False,0.4041507858933674,1.0
SIM_004381,non_detection,BBH,146.49210808497406,1765.2965116697267,1.24843268060953,0.28608615302244134,False,1.24843268060953,1.0
SIM_004382,non_detection,BBH,144.5501214501634,2555.5506366653294,0.9053325582852897,0.278426745442354,False,0.9053325582852897,1.0
SIM_004383,non_detection,BBH,40.42304581841087,2712.7024823210254,0.17179101964957422,0.09120215655225568,False,0.17179101964957422,1.0
SIM_004384,non_detection,BBH,32.81265068466819,2384.096373042705,0.2782699353371613,0.06458138726779294,False,0.2782699353371613,1.0
SIM_004385,non_detection,BBH,13.944640705051171,2840.067995106447,0.2542029000241442,0.02685216220506047,False,0.2542029000241442,1.0
