ell,c_ell_tt_standard,c_ell_tt_klein,c_ell_eb_klein,klein_enhancement,parity_violation,klein_multipole,klein_window
73,17269.64788284929,17269.64788284929,0.0,0.0,0.0,1.4810502488509167e+23,0.0
74,17044.678359991023,17044.678359991023,0.0,0.0,0.0,1.4810502488509167e+23,0.0
75,16825.57751458762,16825.57751458762,0.0,0.0,0.0,1.4810502488509167e+23,0.0
76,16612.116711793253,16612.116711793253,0.0,0.0,0.0,1.4810502488509167e+23,0.0
77,16404.07907832049,16404.07907832049,0.0,0.0,0.0,1.4810502488509167e+23,0.0
78,16201.258754329434,16201.258754329434,0.0,0.0,0.0,1.4810502488509167e+23,0.0
79,16003.46020177118,16003.46020177118,0.0,0.0,0.0,1.4810502488509167e+23,0.0
80,15810.497564272866,15810.497564272866,0.0,0.0,0.0,1.4810502488509167e+23,0.0
81,15622.194074134386,15622.194074134386,0.0,0.0,0.0,1.4810502488509167e+23,0.0
82,15438.381502437076,15438.381502437076,0.0,0.0,0.0,1.4810502488509167e+23,0.0
83,15258.899648648256,15258.899648648256,0.0,0.0,0.0,1.4810502488509167e+23,0.0
84,15083.595866448377,15083.595866448377,0.0,0.0,0.0,1.4810502488509167e+23,0.0
85,14912.324622814034,14912.324622814034,0.0,0.0,0.0,1.4810502488509167e+23,0.0
86,14744.94708766479,14744.94708766479,0.0,0.0,0.0,1.4810502488509167e+23,0.0
87,14581.330751628186,14581.330751628186,0.0,0.0,0.0,1.4810502488509167e+23,0.0
88,14421.34906969846,14421.34906969846,0.0,0.0,0.0,1.4810502488509167e+23,0.0
89,14264.881128763618,14264.881128763618,0.0,0.0,0.0,1.4810502488509167e+23,0.0
90,14111.811337154595,14111.811337154595,0.0,0.0,0.0,1.4810502488509167e+23,0.0
91,13962.029134531806,13962.029134531806,0.0,0.0,0.0,1.4810502488509167e+23,0.0
92,13815.428720570175,13815.428720570175,0.0,0.0,0.0,1.4810502488509167e+23,0.0
93,13671.908801035486,13671.908801035486,0.0,0.0,0.0,1.4810502488509167e+23,0.0
94,13531.372349964086,13531.372349964086,0.0,0.0,0.0,1.4810502488509167e+23,0.0
95,13393.726386765862,13393.726386765862,0.0,0.0,0.0,1.4810502488509167e+23,0.0
96,13258.8817671684,13258.8817671684,0.0,0.0,0.0,1.4810502488509167e+23,0.0
97,13126.75298700889,13126.75298700889,0.0,0.0,0.0,1.4810502488509167e+23,0.0
98,12997.25799796122,12997.25799796122,0.0,0.0,0.0,1.4810502488509167e+23,0.0
99,12870.318034358921,12870.318034358921,0.0,0.0,0.0,1.4810502488509167e+23,0.0
100,12745.857450341611,12745.857450341611,0.0,0.0,0.0,1.4810502488509167e+23,0.0
101,12623.80356661334,12623.80356661334,0.0,0.0,0.0,1.4810502488509167e+23,0.0
102,12504.086526156872,12504.086526156872,0.0,0.0,0.0,1.4810502488509167e+23,0.0
103,12386.639158298545,12386.639158298545,0.0,0.0,0.0,1.4810502488509167e+23,0.0
104,12271.396850564866,12271.396850564866,0.0,0.0,0.0,1.4810502488509167e+23,0.0
105,12158.297427814108,12158.297427814108,0.0,0.0,0.0,1.4810502488509167e+23,0.0
106,12047.281038165283,12047.281038165283,0.0,0.0,0.0,1.4810502488509167e+23,0.0
107,11938.290045282149,11938.290045282149,0.0,0.0,0.0,1.4810502488509167e+23,0.0
108,11831.268926602714,11831.268926602714,0.0,0.0,0.0,1.4810502488509167e+23,0.0
109,11726.164177134446,11726.164177134446,0.0,0.0,0.0,1.4810502488509167e+23,0.0
110,11622.924218463051,11622.924218463051,0.0,0.0,0.0,1.4810502488509167e+23,0.0
111,11521.499312647748,11521.499312647748,0.0,0.0,0.0,1.4810502488509167e+23,0.0
112,11421.841480699448,11421.841480699448,0.0,0.0,0.0,1.4810502488509167e+23,0.0
113,11323.904425359411,11323.904425359411,0.0,0.0,0.0,1.4810502488509167e+23,0.0
114,11227.643457915838,11227.643457915838,0.0,0.0,0.0,1.4810502488509167e+23,0.0
115,11133.01542881393,11133.01542881393,0.0,0.0,0.0,1.4810502488509167e+23,0.0
116,11039.978661831788,11039.978661831788,0.0,0.0,0.0,1.4810502488509167e+23,0.0
117,10948.492891610033,10948.492891610033,0.0,0.0,0.0,1.4810502488509167e+23,0.0
118,10858.5192043372,10858.5192043372,0.0,0.0,0.0,1.4810502488509167e+23,0.0
119,10770.019981406405,10770.019981406405,0.0,0.0,0.0,1.4810502488509167e+23,0.0
120,10682.95884587085,10682.95884587085,0.0,0.0,0.0,1.4810502488509167e+23,0.0
