event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW150914,GWTC-1-confident,3,1126259462.4,35.6,-3.1,4.7,30.6,-4.4,3.0,,,,63.1,-3.0,3.4,28.6,-1.5,1.7,440.0,-170.0,150.0,0.09,-0.03,0.03,25.2,,,-0.01,-0.13,0.12,1e-07,1.0,,,,O1,
GW150914,GWTC-2.1-confident,4,1126259462.4,34.6,-2.6,4.4,30.0,-4.6,2.9,64.5,-3.2,3.7,61.5,-2.9,3.4,27.9,-1.5,1.7,470.0,-160.0,140.0,0.1,-0.03,0.03,26.0,-0.2,0.1,-0.04,-0.14,0.12,,,,,,O1,3.0
GW151012,GWTC-2.1-confident,4,1128678900.4,24.8,-6.3,14.5,13.6,-4.9,4.5,38.8,-4.7,10.3,37.1,-4.6,10.6,15.6,-1.5,2.3,1000.0,-490.0,640.0,0.2,-0.09,0.11,9.3,-0.5,0.3,0.12,-0.21,0.28,,,,,,O1,1.6999999999999957
GW151012,GWTC-1-confident,3,1128678900.4,23.2,-5.5,14.9,13.6,-4.8,4.1,,,,35.6,-3.8,10.8,15.2,-1.2,2.1,1080.0,-490.0,550.0,0.21,-0.09,0.09,10.0,,,0.05,-0.2,0.31,0.00792,1.0,,,,O1,
GW151226,GWTC-2.1-confident,3,1135136350.6,14.2,-3.6,11.1,7.5,-2.8,2.4,21.7,-1.6,8.3,20.7,-1.6,8.6,8.9,-0.3,0.3,460.0,-200.0,160.0,0.1,-0.04,0.03,12.7,-0.4,0.3,0.2,-0.08,0.23,,,,,,O1,1.0
GW151226,GWTC-1-confident,2,1135136350.6,13.7,-3.2,8.8,7.7,-2.5,2.2,,,,20.5,-1.5,6.4,8.9,-0.3,0.3,450.0,-190.0,180.0,0.09,-0.04,0.04,13.1,,,0.18,-0.12,0.2,1e-07,1.0,,,,O1,
GW170104,GWTC-1-confident,2,1167559936.6,30.8,-5.6,7.3,20.0,-4.6,4.9,,,,48.9,-4.0,5.1,21.4,-1.8,2.2,990.0,-430.0,440.0,0.2,-0.08,0.08,13.0,,,-0.04,-0.21,0.17,1e-07,1.0,,,,O2,
GW170104,GWTC-2.1-confident,3,1167559936.6,28.7,-4.2,6.6,20.8,-4.7,4.1,49.6,-3.6,4.7,47.5,-3.4,4.5,21.1,-1.5,2.0,1110.0,-480.0,390.0,0.22,-0.09,0.07,13.8,-0.3,0.2,-0.04,-0.19,0.15,,,,,,O2,2.1000000000000014
GW170608,GWTC-2.1-confident,4,1180922494.5,10.6,-1.4,4.0,7.8,-1.9,1.2,18.5,-0.6,2.0,17.7,-0.6,2.1,7.9,-0.2,0.2,340.0,-130.0,120.0,0.07,-0.03,0.03,15.3,-0.3,0.2,0.05,-0.05,0.13,,,,,,O2,0.8000000000000007
GW170608,GWTC-1-confident,3,1180922494.5,11.0,-1.7,5.5,7.6,-2.2,1.4,,,,17.8,-0.7,3.4,7.9,-0.2,0.2,320.0,-110.0,120.0,0.07,-0.02,0.02,15.4,,,0.03,-0.07,0.19,1e-07,1.0,,,,O2,
GW170729,GWTC-2.1-confident,2,1185389807.3,54.7,-12.8,12.7,30.2,-10.2,11.9,84.4,-10.9,15.0,80.3,-10.2,13.5,34.6,-5.7,7.0,2490.0,-1230.0,1690.0,0.44,-0.19,0.24,10.7,-0.5,0.4,0.29,-0.33,0.25,,,,,,O2,4.1000000000000085
GW170729,GWTC-1-confident,1,1185389807.3,50.2,-10.2,16.2,34.0,-10.1,9.1,,,,79.5,-10.2,14.7,35.4,-4.8,6.5,2840.0,-1360.0,1400.0,0.49,-0.21,0.19,10.8,,,0.37,-0.25,0.21,0.02,0.98,,,,O2,
GW170809,GWTC-1-confident,1,1186302519.8,35.0,-5.9,8.3,23.8,-5.2,5.1,,,,56.3,-3.8,5.2,24.9,-1.7,2.1,1030.0,-390.0,320.0,0.2,-0.07,0.05,12.4,,,0.08,-0.17,0.17,1e-07,1.0,,,,O2,
GW170809,GWTC-2.1-confident,2,1186302519.8,34.1,-5.3,8.0,24.2,-5.3,4.8,58.5,-3.9,5.3,55.7,-3.6,5.0,24.8,-1.6,2.2,1070.0,-380.0,310.0,0.21,-0.07,0.05,12.8,-0.3,0.2,0.07,-0.17,0.17,,,,,,O2,2.799999999999997
GW170814,GWTC-1-confident,3,1186741861.5,30.6,-3.0,5.6,25.2,-4.0,2.8,,,,53.2,-2.4,3.2,24.1,-1.1,1.4,600.0,-220.0,150.0,0.12,-0.04,0.03,17.2,,,0.07,-0.12,0.12,1e-07,1.0,,,,O2,
GW170814,GWTC-2.1-confident,4,1186741861.5,30.9,-3.3,5.4,24.9,-4.0,3.0,56.0,-3.0,3.5,53.2,-2.7,3.2,24.1,-1.2,1.4,610.0,-230.0,160.0,0.13,-0.05,0.03,17.7,-0.3,0.2,0.08,-0.12,0.13,,,,,,O2,2.799999999999997
GW170817,GWTC-1-confident,3,1187008882.4,1.46,-0.1,0.12,1.27,-0.09,0.09,,,,2.8,,,1.186,-0.001,0.001,40.0,-15.0,7.0,0.01,0.0,0.0,33.0,,,0.0,-0.01,0.02,1e-07,1.0,,,,O2,
GW170818,GWTC-2.1-confident,2,1187058327.1,34.8,-4.2,6.5,27.6,-5.1,4.1,62.5,-4.6,5.3,59.7,-4.2,4.9,26.8,-2.0,2.3,1080.0,-410.0,430.0,0.21,-0.07,0.07,12.0,-0.4,0.3,-0.06,-0.22,0.19,,,,,,O2,2.799999999999997
GW170818,GWTC-1-confident,1,1187058327.1,35.4,-4.7,7.5,26.7,-5.2,4.3,,,,59.4,-3.8,4.9,26.5,-1.7,2.1,1060.0,-380.0,420.0,0.21,-0.07,0.07,11.3,,,-0.09,-0.21,0.18,4.2000000000000004e-05,1.0,,,,O2,
GW170823,GWTC-1-confident,1,1187529256.5,39.5,-6.7,11.2,29.0,-7.8,6.7,,,,65.4,-7.4,10.1,29.2,-3.6,4.6,1940.0,-900.0,970.0,0.35,-0.15,0.15,11.5,,,0.09,-0.26,0.22,1e-07,1.0,,,,O2,
GW170823,GWTC-2.1-confident,2,1187529256.5,38.3,-6.2,9.5,29.0,-7.8,6.5,67.0,-7.2,10.3,63.9,-6.8,9.6,28.6,-3.3,4.5,1970.0,-930.0,840.0,0.36,-0.15,0.13,12.2,-0.3,0.2,0.05,-0.22,0.21,,,,,,O2,3.1000000000000014
GW190403_051519,GWTC-2.1-confident,1,1238303737.2,85.0,-33.0,27.8,20.0,-8.4,26.3,106.6,-23.6,26.7,102.2,-24.3,26.3,34.0,-8.4,15.1,8280.0,-4290.0,6720.0,1.18,-0.53,0.73,7.6,-1.1,0.6,0.68,-0.43,0.16,7.7,0.60924,,,,O3b,4.3999999999999915
GW190408_181802,GWTC-2.1-confident,2,1238782700.2,24.8,-3.5,5.4,18.5,-4.0,3.3,43.4,-3.0,4.2,41.4,-2.9,3.9,18.5,-1.2,1.9,1540.0,-620.0,440.0,0.29,-0.11,0.07,14.6,-0.3,0.2,-0.03,-0.17,0.13,1e-05,1.0,,,,O3b,2.0
GW190412_053044,GWTC-2.1-confident,4,1239082262.1,27.7,-6.0,6.0,9.0,-1.4,2.0,36.8,-4.4,4.7,35.6,-4.5,4.8,13.3,-0.5,0.5,720.0,-220.0,240.0,0.15,-0.04,0.04,19.8,-0.3,0.2,0.21,-0.13,0.12,1e-05,1.0,,,,O3b,1.1999999999999957
GW190413_052954,GWTC-2.1-confident,2,1239168612.5,33.7,-6.4,10.4,24.2,-7.0,6.5,58.0,-7.8,10.6,55.5,-7.3,10.1,24.5,-3.4,4.6,3320.0,-1400.0,1910.0,0.56,-0.21,0.25,9.0,-0.8,0.4,-0.04,-0.32,0.27,0.82,0.9275,,,,O3b,2.5
GW190413_134308,GWTC-2.1-confident,2,1239198206.7,51.3,-12.6,16.6,30.4,-12.7,11.7,81.3,-11.8,16.8,78.0,-11.5,16.1,33.3,-6.3,7.8,3800.0,-1830.0,2480.0,0.62,-0.26,0.32,10.6,-0.5,0.4,-0.01,-0.38,0.28,0.18,0.99058,,,,O3b,3.299999999999997
GW190421_213856,GWTC-2.1-confident,2,1239917954.2,42.0,-7.4,10.1,32.0,-9.8,8.3,73.6,-9.5,13.2,70.5,-9.0,12.4,31.4,-4.6,6.0,2590.0,-1240.0,1490.0,0.45,-0.19,0.21,10.7,-0.4,0.2,-0.1,-0.27,0.21,0.0028,0.99792,,,,O3b,3.0999999999999943
GW190425_081805,GWTC-2.1-confident,3,1240215503.0,2.1,-0.4,0.5,1.3,-0.2,0.3,3.4,-0.1,0.3,,,,1.44,-0.02,0.02,150.0,-60.0,80.0,0.03,-0.01,0.02,12.4,-0.4,0.4,0.07,-0.05,0.07,0.034,0.78349,,,,O3b,
GW190426_190642,GWTC-2.1-confident,1,1240340820.6,105.5,-24.1,45.3,76.0,-36.5,26.2,182.3,-35.7,40.2,172.9,-33.6,37.7,76.0,-17.4,19.1,4580.0,-2280.0,3400.0,0.73,-0.32,0.41,8.7,-0.6,0.4,0.23,-0.41,0.42,4.1,0.75053,,,,O3b,9.400000000000006
GW190503_185404,GWTC-2.1-confident,2,1240944862.2,41.3,-7.7,10.3,28.3,-9.2,7.5,69.4,-8.6,10.1,66.5,-7.9,9.4,29.3,-4.4,4.5,1520.0,-600.0,630.0,0.29,-0.1,0.1,12.2,-0.4,0.2,-0.05,-0.3,0.23,1e-05,1.0,,,,O3b,2.9000000000000057
GW190512_180714,GWTC-2.1-confident,2,1241719652.4,23.2,-5.6,5.6,12.5,-2.6,3.5,35.8,-3.5,4.1,34.3,-3.4,4.1,14.6,-0.9,1.4,1460.0,-590.0,510.0,0.28,-0.1,0.08,12.7,-0.4,0.3,0.02,-0.14,0.13,1e-05,1.0,,,,O3b,1.5
GW190513_205428,GWTC-2.1-confident,2,1241816086.7,36.0,-9.7,10.6,18.3,-4.7,7.4,54.4,-6.7,9.3,52.1,-6.6,8.8,21.8,-2.2,3.8,2210.0,-810.0,990.0,0.4,-0.13,0.14,12.5,-0.4,0.3,0.16,-0.22,0.29,1.3e-05,0.99998,,,,O3b,2.299999999999997
GW190514_065416,GWTC-2.1-confident,2,1241852074.8,40.9,-9.3,17.3,28.4,-10.1,10.0,69.3,-12.1,19.8,66.4,-11.5,19.0,29.1,-5.4,8.1,3890.0,-2070.0,2610.0,0.64,-0.3,0.33,8.0,-0.6,0.3,-0.08,-0.35,0.29,2.8,0.76021,,,,O3b,2.8999999999999915
GW190517_055101,GWTC-2.1-confident,2,1242107479.8,39.2,-9.2,13.9,24.0,-7.9,7.4,64.1,-9.8,9.9,60.1,-9.4,9.9,26.5,-4.2,4.0,1790.0,-880.0,1750.0,0.33,-0.15,0.26,10.8,-0.6,0.5,0.49,-0.28,0.21,0.00035,1.0,,,,O3b,3.999999999999993
GW190519_153544,GWTC-2.1-confident,2,1242315362.3,65.1,-11.0,10.8,40.8,-12.7,11.5,105.6,-13.9,14.4,100.0,-12.9,13.0,44.3,-7.5,6.8,2600.0,-960.0,1720.0,0.45,-0.15,0.24,15.9,-0.3,0.2,0.33,-0.24,0.2,1e-05,1.0,,,,O3b,5.599999999999994
GW190521_030229,GWTC-2.1-confident,4,1242442967.4,98.4,-21.7,33.6,57.2,-30.1,27.1,153.1,-16.2,42.2,147.4,-16.0,40.0,63.3,-14.6,19.6,3310.0,-1800.0,2790.0,0.56,-0.27,0.36,14.3,-0.4,0.5,-0.14,-0.45,0.5,0.0013,0.99989,,,,O3b,5.699999999999989
GW190521_074359,GWTC-2.1-confident,2,1242459857.4,43.4,-5.5,5.8,33.4,-6.8,5.2,76.3,-5.9,7.0,72.6,-5.4,6.5,32.8,-2.8,3.2,1080.0,-530.0,580.0,0.21,-0.1,0.1,25.9,-0.2,0.1,0.1,-0.13,0.13,1e-05,1.0,,,,O3b,3.700000000000003
GW190527_092055,GWTC-2.1-confident,2,1242984073.7,35.6,-8.0,18.7,22.2,-8.7,9.0,58.1,-8.8,18.1,55.5,-8.5,17.9,23.9,-3.9,6.8,2520.0,-1230.0,2080.0,0.44,-0.19,0.29,8.0,-0.9,0.4,0.1,-0.22,0.22,0.23,0.84784,,,,O3b,2.6000000000000014
GW190602_175927,GWTC-2.1-confident,2,1243533585.0,71.8,-14.6,18.1,44.8,-19.6,15.5,115.6,-14.8,19.2,110.5,-13.9,17.9,48.0,-9.7,9.5,2840.0,-1280.0,1930.0,0.49,-0.2,0.26,13.2,-0.3,0.2,0.12,-0.28,0.25,1e-05,1.0,,,,O3b,5.099999999999994
GW190620_030421,GWTC-2.1-confident,2,1245035079.3,58.0,-13.3,19.2,35.0,-14.5,13.1,92.7,-13.2,18.5,88.0,-12.4,17.2,38.1,-7.2,8.5,2910.0,-1320.0,1710.0,0.5,-0.2,0.23,12.1,-0.4,0.3,0.34,-0.29,0.22,0.011,0.98748,,,,O3b,4.700000000000003
GW190630_185205,GWTC-2.1-confident,2,1245955943.1,35.1,-5.5,6.5,24.0,-5.2,5.5,59.4,-4.8,4.7,56.6,-4.5,4.4,25.1,-2.1,2.2,870.0,-360.0,530.0,0.18,-0.07,0.09,16.4,-0.3,0.2,0.1,-0.13,0.14,1e-05,1.0,,,,O3b,2.799999999999997
GW190701_203306,GWTC-2.1-confident,2,1246048404.5,54.1,-8.0,12.6,40.5,-12.1,8.7,94.3,-9.5,12.0,90.2,-8.9,11.2,40.2,-5.0,5.4,2090.0,-740.0,770.0,0.38,-0.12,0.11,11.2,-0.4,0.2,-0.08,-0.31,0.23,0.0057,0.99986,,,,O3b,4.099999999999994
GW190706_222641,GWTC-2.1-confident,2,1246487219.3,74.0,-16.9,20.1,39.4,-15.4,18.4,112.6,-16.8,27.4,107.3,-15.9,25.2,45.6,-9.1,13.0,3630.0,-2000.0,2600.0,0.6,-0.29,0.33,13.4,-0.4,0.2,0.28,-0.31,0.25,5e-05,1.0,,,,O3b,5.299999999999997
GW190707_093326,GWTC-2.1-confident,2,1246527224.1,12.1,-2.0,2.6,7.9,-1.3,1.6,20.1,-1.2,1.7,19.2,-1.2,1.7,8.4,-0.4,0.6,850.0,-400.0,340.0,0.17,-0.08,0.06,13.1,-0.4,0.2,-0.04,-0.09,0.1,1e-05,1.0,,,,O3b,0.9000000000000021
GW190708_232457,GWTC-2.1-confident,2,1246663515.3,19.8,-4.3,4.3,11.6,-2.0,3.1,31.4,-2.2,2.8,30.1,-2.1,2.9,13.1,-0.6,0.9,930.0,-390.0,310.0,0.19,-0.07,0.06,13.4,-0.3,0.2,0.05,-0.1,0.1,0.00031,0.99965,,,,O3b,1.2999999999999972
GW190719_215514,GWTC-2.1-confident,2,1247608532.9,36.6,-11.1,42.1,19.9,-9.3,10.0,57.2,-11.6,38.4,54.5,-11.1,38.3,22.8,-4.3,8.3,3730.0,-2070.0,3120.0,0.61,-0.3,0.39,7.9,-0.7,0.3,0.25,-0.32,0.33,0.63,0.91976,,,,O3b,2.700000000000003
GW190720_000836,GWTC-2.1-confident,2,1247616534.7,14.2,-3.3,5.6,7.5,-1.8,2.2,21.8,-2.0,3.8,20.8,-2.0,3.9,9.0,-0.8,0.4,770.0,-260.0,650.0,0.16,-0.05,0.11,10.9,-0.8,0.3,0.19,-0.11,0.14,1e-05,1.0,,,,O3b,1.0
GW190725_174728,GWTC-2.1-confident,1,1248112066.4,11.8,-3.0,10.1,6.3,-2.5,2.1,18.3,-1.9,7.4,17.6,-1.8,7.7,7.4,-0.5,0.5,1030.0,-430.0,520.0,0.2,-0.08,0.09,9.1,-0.7,0.4,-0.04,-0.16,0.36,0.46,0.96021,,,,O3b,0.6999999999999993
GW190727_060333,GWTC-2.1-confident,2,1248242631.9,38.9,-6.0,8.9,30.2,-8.3,6.5,68.8,-7.8,10.2,65.4,-7.3,9.5,29.4,-3.7,4.6,3070.0,-1230.0,1300.0,0.52,-0.18,0.18,11.7,-0.5,0.2,0.09,-0.27,0.25,1e-05,1.0,,,,O3b,3.3999999999999915
GW190728_064510,GWTC-2.1-confident,2,1248331528.5,12.5,-2.3,6.9,8.0,-2.6,1.7,20.7,-1.4,4.2,19.7,-1.4,4.4,8.6,-0.3,0.6,880.0,-380.0,260.0,0.18,-0.07,0.05,13.1,-0.4,0.3,0.13,-0.07,0.19,1e-05,1.0,,,,O3b,1.0
GW190731_140936,GWTC-2.1-confident,2,1248617394.6,41.8,-9.1,12.7,29.0,-9.9,10.2,70.7,-11.4,16.3,67.4,-10.8,15.3,29.7,-5.3,7.4,3330.0,-1770.0,2350.0,0.56,-0.26,0.31,8.8,-0.4,0.3,0.07,-0.25,0.28,0.33,0.83427,,,,O3b,3.299999999999997
GW190803_022701,GWTC-2.1-confident,2,1248834439.8,37.7,-6.7,9.8,27.6,-8.5,7.6,65.0,-8.1,12.0,62.1,-7.6,11.2,27.6,-3.8,5.4,3190.0,-1470.0,1630.0,0.54,-0.22,0.22,9.3,-0.5,0.3,-0.01,-0.28,0.23,0.073,0.97383,,,,O3b,2.8999999999999986
GW190805_211137,GWTC-2.1-confident,1,1249074715.3,46.2,-11.2,15.4,30.6,-11.3,11.8,76.7,-13.8,19.5,72.4,-13.2,18.2,31.9,-6.3,8.8,6130.0,-3080.0,3720.0,0.92,-0.4,0.43,8.1,-0.7,0.5,0.37,-0.39,0.29,0.63,0.95372,,,,O3b,4.299999999999997
GW190814_211039,GWTC-2.1-confident,3,1249852257.0,23.3,-1.4,1.4,2.6,-0.1,0.1,25.9,-1.3,1.3,25.7,-1.3,1.3,6.11,-0.05,0.06,230.0,-50.0,40.0,0.05,-0.01,0.01,25.3,-0.2,0.1,0.0,-0.07,0.07,1e-05,1.0,,,,O3b,0.1999999999999993
GW190828_063405,GWTC-2.1-confident,2,1251009263.7,31.9,-4.1,5.4,25.8,-5.3,4.9,57.2,-4.3,7.9,54.3,-4.0,7.3,24.6,-2.0,3.6,2070.0,-920.0,650.0,0.38,-0.15,0.1,16.5,-0.3,0.2,0.15,-0.16,0.15,1e-05,1.0,,,,O3b,2.9000000000000057
