event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW200129_065458,GWTC-3-confident,1,1264316116.4,34.5,-3.1,9.9,29.0,-9.3,3.3,63.3,-3.4,4.5,60.2,-3.2,4.1,27.2,-2.3,2.1,890.0,-370.0,260.0,0.18,-0.07,0.05,26.8,-0.2,0.2,0.11,-0.16,0.11,1e-05,0.99,,,,O3a,3.0999999999999943
GW200202_154313,GWTC-3-confident,1,1264693411.5,10.1,-1.4,3.5,7.3,-1.7,1.1,17.58,-0.67,1.78,16.76,-0.66,1.87,7.49,-0.2,0.24,410.0,-160.0,150.0,0.09,-0.03,0.03,10.8,-0.4,0.2,0.04,-0.06,0.13,1e-05,0.99,,,,O3a,0.8199999999999967
GW200208_130117,GWTC-3-confident,1,1265202095.9,37.7,-6.2,9.3,27.4,-7.3,6.3,65.3,-6.8,8.1,62.5,-6.4,7.5,27.7,-3.1,3.7,2230.0,-850.0,1020.0,0.4,-0.14,0.15,10.8,-0.4,0.3,-0.07,-0.27,0.21,0.00031,0.99,,,,O3a,2.799999999999997
GW200208_222617,GWTC-3-confident,1,1265235995.9,51.0,-30.0,103.0,12.3,-5.5,9.2,63.0,-26.0,100.0,61.0,-26.0,99.0,19.8,-5.2,10.5,4100.0,-2000.0,4400.0,0.66,-0.29,0.53,7.4,-1.2,1.4,0.45,-0.46,0.42,4.8,0.70006,,,,O3a,2.0
GW200209_085452,GWTC-3-confident,1,1265273710.1,35.6,-6.8,10.5,27.1,-7.8,7.8,62.6,-9.4,13.9,59.9,-8.9,13.1,26.7,-4.2,6.0,3400.0,-1800.0,1900.0,0.57,-0.26,0.25,9.6,-0.5,0.4,-0.12,-0.3,0.24,0.046,0.97236,,,,O3a,2.700000000000003
GW200210_092254,GWTC-3-confident,1,1265361792.9,24.1,-4.6,7.5,2.83,-0.42,0.47,27.0,-4.3,7.1,26.7,-4.3,7.2,6.56,-0.4,0.38,940.0,-340.0,430.0,0.19,-0.06,0.08,8.4,-0.7,0.5,0.02,-0.21,0.22,1.2,0.54462,,,,O3a,0.3000000000000007
GW200216_220804,GWTC-3-confident,1,1265926102.8,51.0,-13.0,22.0,30.0,-16.0,14.0,81.0,-14.0,20.0,78.0,-13.0,19.0,32.9,-8.5,9.3,3800.0,-2000.0,3000.0,0.63,-0.29,0.37,8.1,-0.5,0.4,0.1,-0.36,0.34,0.35,0.77277,,,,O3a,3.0
GW200219_094415,GWTC-3-confident,1,1266140673.1,37.5,-6.9,10.1,27.9,-8.4,7.4,65.0,-8.2,12.6,62.2,-7.8,11.7,27.6,-3.8,5.6,3400.0,-1500.0,1700.0,0.57,-0.22,0.22,10.7,-0.5,0.3,-0.08,-0.29,0.23,0.00099,0.99,,,,O3a,2.799999999999997
GW200220_061928,GWTC-3-confident,1,1266214786.7,87.0,-23.0,40.0,61.0,-25.0,26.0,148.0,-33.0,55.0,141.0,-31.0,51.0,62.0,-15.0,23.0,6000.0,-3100.0,4800.0,0.9,-0.4,0.55,7.2,-0.7,0.4,0.06,-0.38,0.4,6.8,0.62376,,,,O3a,7.0
GW200220_124850,GWTC-3-confident,1,1266238148.1,38.9,-8.6,14.1,27.9,-9.0,9.2,67.0,-12.0,17.0,64.0,-11.0,16.0,28.2,-5.1,7.3,4000.0,-2200.0,2800.0,0.66,-0.31,0.36,8.5,-0.5,0.3,-0.07,-0.33,0.27,30.0,0.82579,,,,O3a,3.0
GW200224_222234,GWTC-3-confident,1,1266618172.4,40.0,-4.5,6.7,32.7,-7.2,4.8,72.3,-5.3,7.2,68.7,-4.8,6.7,31.1,-2.7,3.3,1710.0,-650.0,500.0,0.32,-0.11,0.08,20.0,-0.2,0.2,0.1,-0.16,0.15,1e-05,0.99,,,,O3a,3.5999999999999943
GW200225_060421,GWTC-3-confident,1,1266645879.3,19.3,-3.0,5.0,14.0,-3.5,2.8,33.5,-3.0,3.6,32.1,-2.8,3.5,14.2,-1.4,1.5,1150.0,-530.0,510.0,0.22,-0.1,0.09,12.5,-0.4,0.3,-0.12,-0.28,0.17,1.1e-05,0.99,,,,O3a,1.3999999999999986
GW200302_015811,GWTC-3-confident,1,1267149509.5,37.8,-8.5,8.7,20.0,-5.7,8.1,57.8,-6.9,9.6,55.5,-6.6,8.9,23.4,-3.0,4.7,1480.0,-700.0,1020.0,0.28,-0.12,0.16,10.8,-0.4,0.3,0.01,-0.26,0.25,0.11,0.90643,,,,O3a,2.299999999999997
GW200306_093714,GWTC-3-confident,1,1267522652.1,28.3,-7.7,17.1,14.8,-6.4,6.5,43.9,-7.5,11.8,41.7,-6.9,12.3,17.5,-3.0,3.5,2100.0,-1100.0,1700.0,0.38,-0.18,0.24,7.8,-0.6,0.4,0.32,-0.46,0.28,24.0,0.81156,,,,O3a,2.1999999999999957
GW200308_173609,GWTC-3-confident,1,1267724187.7,60.0,-29.0,166.0,24.0,-13.0,36.0,92.0,-48.0,169.0,88.0,-47.0,169.0,34.0,-18.0,44.0,7100.0,-4400.0,13900.0,1.04,-0.57,1.47,4.7,-2.9,2.5,0.16,-0.49,0.58,2.4,0.8566,,,,O3a,4.0
GW200311_115853,GWTC-3-confident,1,1267963151.3,34.2,-3.8,6.4,27.7,-5.9,4.1,61.9,-4.2,5.3,59.0,-3.9,4.8,26.6,-2.0,2.4,1170.0,-400.0,280.0,0.23,-0.07,0.05,17.8,-0.2,0.2,-0.02,-0.2,0.16,1e-05,0.99,,,,O3a,2.8999999999999986
GW200316_215756,GWTC-3-confident,1,1268431094.1,13.1,-2.9,10.2,7.8,-2.9,2.0,21.2,-2.0,7.2,20.2,-1.9,7.4,8.75,-0.55,0.62,1120.0,-440.0,480.0,0.22,-0.08,0.08,10.3,-0.7,0.4,0.13,-0.1,0.27,1e-05,0.99,,,,O3a,1.0
