name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G017.25-70.71,351.1688847,-30.6510697,2.428759,5.19466,,,1000.0,0.7064973547907493,2.180250836884252e+22,8.011495684154757e+44,5.740069658032847e-50,6.4495164696998275,0.29999849972339515,9.999949990779837e-07
PSZ2 G017.72-51.40,328.7492675,-30.1324674,2.428909,4.53554,,,1000.0,0.7065409880220491,2.1803854890360436e+22,6.536141025058449e+44,4.682141238759263e-50,5.260832852538498,0.2999838326741412,9.999461089138038e-07
PSZ2 G018.06-36.38,311.9957084,-27.0195059,4.019213,5.64942,,,1000.0,1.1691416698159807,3.6079711930521167e+22,9.086229593938458e+44,1.4365391546080785e-50,1.614088937761886,0.2771285995297955,9.237619984326517e-07
PSZ2 G018.18-60.00,338.7121482,-30.5418645,2.39743,6.35725,4.868449,0.449366,20864.781428571427,14.550767195944024,4.490366756668326e+23,8.93788974e+43,7.330143824412927e-55,8.236116656643738e-05,2.4708349914062655e-05,8.236116638020885e-11
PSZ2 G018.32-28.50,303.7003493,-24.5105117,1.851726,8.67636,5.092264,0.356207,21823.98857142857,11.75538797821047,3.627712730075751e+23,7.08495723e+43,1.101949040669389e-54,0.00012381449895161674,3.7144349495677016e-05,1.238144983189234e-10
PSZ2 G018.54-25.69,300.8655664,-23.3915128,2.427806,11.34157,8.991968,0.444413,38537.00571428571,27.215609506285574,8.398737093639729e+23,8.839374569999999e+43,1.107905000967642e-55,1.2448370797389234e-05,3.734511239023868e-06,1.2448370796746226e-11
PSZ2 G018.64-83.11,5.2542949,-28.621724,3.830263,4.62228,,,1000.0,1.1141783427885927,3.4383543658455973e+22,6.72453543795081e+44,1.2283816759876993e-50,1.3802041303232575,0.26429909090478754,8.809969696826252e-07
PSZ2 G018.73+23.56,255.5775358,-1.0240251,3.142269,7.51618,3.968832,0.300528,17009.28,15.54731538417424,4.7979015275561706e+23,5.97750192e+43,4.018728611541041e-55,4.515425406225889e-05,1.3546276209471135e-05,4.5154254031570454e-11
PSZ2 G018.73-15.49,290.7770614,-19.3991765,3.647063,4.84424,,,1000.0,1.0608876229610325,3.273899204457746e+22,7.214668634767042e+44,1.5266638468842532e-50,1.715352636948599,0.2811902950108187,9.373009833693957e-07
PSZ2 G018.76-61.65,340.6369626,-30.3150463,2.428301,5.03814,,,1000.0,0.7063641279911803,2.1798396989807826e+22,7.652146203645599e+44,5.485706039884585e-50,6.163714651555713,0.29999734285775176,9.999911428591724e-07
