name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,mass_error_low,mass_error_high,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G286.32-30.62,85.3793735,-75.0625914,2.300015,4.97583,,,,,1000.0,0.6690472432542897,2.064679792682738e+22,7.510627328892202e+44,6.336377404142786e-50,6.336377404142786e-44,1.9009132212428356e-44,6.336377404142786e-50
PSZ2 G286.39+64.06,185.6966037,2.132447,4.89943,4.68538,,,,,1000.0,1.4251864161830963,4.398125280341035e+22,6.862702001469367e+44,5.989841053526463e-51,5.989841053526464e-45,1.796952316057939e-45,5.989841053526463e-51
PSZ2 G286.62-31.24,82.881581,-75.1804735,1.828954,11.24154,,,,,1000.0,0.5320211527920062,1.6418172775161313e+22,2.550448903090545e+45,4.2792248564062976e-49,4.2792248564062975e-43,1.2837674569218891e-43,4.2792248564062976e-49
PSZ2 G286.66-23.93,111.5331787,-74.9866657,3.697152,5.46404,,,,,1000.0,1.07545792244489,3.3188631486649304e+22,8.642685642712952e+44,1.7555112924111148e-50,1.7555112924111148e-44,5.266533877233344e-45,1.7555112924111148e-50
PSZ2 G286.68+23.18,174.001108,-37.283513,3.748757,4.64578,,,,,1000.0,1.0904692084530845,3.365187977286219e+22,6.775882587252641e+44,1.3202641514844496e-50,1.3202641514844497e-44,3.960792454453349e-45,1.3202641514844496e-50
PSZ2 G286.75-37.35,61.960526,-72.9523844,3.620442,7.14638,,,,,1000.0,1.0531438879581425,3.2500020382388277e+22,1.2927277459658758e+45,2.7962700780223777e-50,2.7962700780223776e-44,8.388810234067132e-45,2.7962700780223777e-50
PSZ2 G286.98+32.90,177.7249329,-28.0916958,2.390216,22.2733,,,,,1000.0,0.6952856505641464,2.1456515176409556e+22,7.113031989157891e+45,5.346876372110909e-49,5.3468763721109095e-43,1.6040629116332728e-43,5.346876372110909e-49
PSZ2 G287.00-35.24,68.028282,-74.1712345,3.7888,4.77749,,,,,1000.0,1.102117244992686,3.401133818047429e+22,7.066064410449245e+44,1.333611642600834e-50,1.3336116426008342e-44,4.0008349278025025e-45,1.3336116426008342e-50
PSZ2 G287.05-23.21,114.5879119,-75.1234047,3.661884,5.17341,,,,,1000.0,1.0651988771016672,3.287203734735745e+22,7.962386582263003e+44,1.6645097349338476e-50,1.6645097349338477e-44,4.9935292048015434e-45,1.6645097349338476e-50
PSZ2 G287.22+18.13,172.5176543,-42.2433277,3.152441,8.23349,,,,,1000.0,0.917007915414376,2.8298864269687643e+22,1.5986517058703753e+45,5.238051719837771e-50,5.238051719837771e-44,1.5714155159513313e-44,5.238051719837771e-50
